,FECHA,DESDE,HASTA,LINEA,MOLINETE,ESTACION,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
240233,13/8/2022,07:15:00,07:30:00,LineaB,LineaB_Pellegrini_E_Turn07,Carlos Pellegrini,24,0,0,24
566470,30/8/2022,15:15:00,15:30:00,LineaB,LineaB_Medrano_S_Turn02,Medrano,33,0,2,35
29565,2/8/2022,13:15:00,13:30:00,LineaC,LineaC_SanMartin_N_Turn02,General San Martin,30,0,0,30
357661,19/8/2022,15:30:00,15:45:00,LineaB,LineaB_Pueyr_N_Turn01,Pueyrredon,27,0,1,28
378046,20/8/2022,16:45:00,17:00:00,LineaB,LineaB_Gardel_S_Turn01,Carlos Gardel,28,0,0,28
514058,27/8/2022,17:45:00,18:00:00,LineaB,LineaB_Lacroze_E_Turn06,Federico Lacroze,27,0,0,27
107014,6/8/2022,09:45:00,10:00:00,LineaC,LineaC_SanMartin_N_Turn04,General San Martin,1,0,0,1
3812,1/8/2022,08:45:00,09:00:00,LineaB,LineaB_Gallardo_S_Turn02,Angel Gallardo,25,0,0,25
243548,13/8/2022,10:15:00,10:30:00,LineaA,LineaA_SnzPena_S_Turn03,Saenz Peña ,18,0,0,18
266593,14/8/2022,16:30:00,16:45:00,LineaA,LineaA_Miserere_Q_HALL_Turn06,Plaza Miserere,8,0,0,8
552552,29/8/2022,20:30:00,20:45:00,LineaA,LineaA_SanPedrito_Oeste_Turn05,San Pedrito,2,0,0,2
5848,1/8/2022,10:30:00,10:45:00,LineaC,LineaC_Constitucion_Turn10,Constitucion,18,0,0,18
245276,13/8/2022,12:00:00,12:15:00,LineaB,LineaB_Dorrego_N_Turn01,Dorrego,27,0,0,27
346577,19/8/2022,06:00:00,06:15:00,LineaC,LineaC_DNorte_N_Turn01,Diagonal Norte,3,0,0,3
20735,2/8/2022,05:30:00,05:45:00,LineaB,LineaB_LosIncas_Turn03,Los Incas,2,0,1,3
